No.,G_N2,G_CO2,G_H2S,G_C1,G_C2,G_C3,G_C4,G_C5,G_C6,G_C7+,TR (℃),O_N2,O_CO2,O_C1,O_C2,O_C3,O_C4,O_C5,O_C6,O_C7+,MWC7+ (g/mol),EM,MMP (MPa),
43,0.3,3.525,0,54.375,19.65,18.65,3.35,0.15,0,0,82.2,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,22.17,
44,0.3,3.525,0,54.375,19.65,18.65,3.35,0.15,0,0,115.6,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,23.89,
45,0.3,3.525,25,54.375,13.65,2.4,0.6,0.15,0,0,82.2,0.39,1.41,6.35,7.43,7.13,4.62,4.24,2.67,65.76,281,1,26.92,
46,0.3,3.525,25,54.375,13.65,2.4,0.6,0.15,0,0,115.6,0.39,1.41,6.35,7.43,7.13,4.62,4.24,2.67,65.76,281,1,30.23,
47,0.3,3.525,25,54.375,13.65,2.4,0.6,0.15,0,0,82.2,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,25.55,
48,0.3,3.525,25,54.375,13.65,2.4,0.6,0.15,0,0,115.6,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,27.81,
49,0.36,4.23,0,65.25,18.78,9.38,1.82,0.18,0,0,82.2,0.39,1.41,6.35,7.43,7.13,4.62,4.24,2.67,65.76,281,1,30.44,
50,0.36,4.23,0,65.25,18.78,9.38,1.82,0.18,0,0,115.6,0.39,1.41,6.35,7.43,7.13,4.62,4.24,2.67,65.76,281,1,32.16,
51,0.36,4.23,0,65.25,18.78,9.38,1.82,0.18,0,0,82.2,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,24.75,
52,0.36,4.23,0,65.25,18.78,9.38,1.82,0.18,0,0,115.6,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,26.58,
53,0.36,4.23,10,65.25,16.38,2.88,0.72,0.18,0,0,82.2,0.39,1.41,6.35,7.43,7.13,4.62,4.24,2.67,65.76,281,1,30.44,
54,0.36,4.23,10,65.25,16.38,2.88,0.72,0.18,0,0,115.6,0.39,1.41,6.35,7.43,7.13,4.62,4.24,2.67,65.76,281,1,33.37,
55,0.36,4.23,10,65.25,16.38,2.88,0.72,0.18,0,0,82.2,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,25.44,
56,0.36,4.23,10,65.25,16.38,2.88,0.72,0.18,0,0,115.6,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,29.44,
57,0.4,4.7,0,72.5,18.2,3.2,0.8,0.2,0,0,82.2,0.39,1.41,6.35,7.43,7.13,4.62,4.24,2.67,65.76,281,1,32.78,
58,0.4,4.7,0,72.5,18.2,3.2,0.8,0.2,0,0,115.6,0.39,1.41,6.35,7.43,7.13,4.62,4.24,2.67,65.76,281,1,35.87,
59,0.4,4.7,0,72.5,18.2,3.2,0.8,0.2,0,0,82.2,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,27.51,
60,0.4,4.7,0,72.5,18.2,3.2,0.8,0.2,0,0,115.6,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,30.14,
61,0.225,5.325,0,35.9775,25.4925,24.575,6.5,1.5,0.375,0.03,82.2,0.39,1.41,6.35,7.43,7.13,4.62,4.24,2.67,65.76,281,1,17.51,
62,0.225,5.325,0,35.9775,25.4925,24.575,6.5,1.5,0.375,0.03,115.6,0.39,1.41,6.35,7.43,7.13,4.62,4.24,2.67,65.76,281,1,19.68,
63,0.225,5.325,0,35.9775,25.4925,24.575,6.5,1.5,0.375,0.03,82.2,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,20.62,
64,0.225,5.325,0,35.9775,25.4925,24.575,6.5,1.5,0.375,0.03,115.6,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,21.48,
65,0.225,5.325,25,35.9775,19.4925,8.325,3.75,1.5,0.375,0.03,82.2,0.39,1.41,6.35,7.43,7.13,4.62,4.24,2.67,65.76,281,1,24.13,
66,0.225,5.325,25,35.9775,19.4925,8.325,3.75,1.5,0.375,0.03,115.6,0.39,1.41,6.35,7.43,7.13,4.62,4.24,2.67,65.76,281,1,25.75,
67,0.225,5.325,25,35.9775,19.4925,8.325,3.75,1.5,0.375,0.03,82.2,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,23.41,
68,0.225,5.325,25,35.9775,19.4925,8.325,3.75,1.5,0.375,0.03,115.6,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,24.61,
69,0.36,5.413,0,65.25,20.523,5.543,2.051,0.713,0.136,0.011,82.2,0.39,1.41,6.35,7.43,7.13,4.62,4.24,2.67,65.76,281,1,31.34,
70,0.36,5.413,0,65.25,20.523,5.543,2.051,0.713,0.136,0.011,115.6,0.39,1.41,6.35,7.43,7.13,4.62,4.24,2.67,65.76,281,1,33.12,
71,0.36,5.413,0,65.25,20.523,5.543,2.051,0.713,0.136,0.011,82.2,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,25.79,
72,0.36,5.413,0,65.25,20.523,5.543,2.051,0.713,0.136,0.011,115.6,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,27.25,
73,0.27,6.39,0,43.173,25.791,16.49,5.6,1.8,0.45,0.036,82.2,0.39,1.41,6.35,7.43,7.13,4.62,4.24,2.67,65.76,281,1,20.62,
74,0.27,6.39,0,43.173,25.791,16.49,5.6,1.8,0.45,0.036,115.6,0.39,1.41,6.35,7.43,7.13,4.62,4.24,2.67,65.76,281,1,23.37,
75,0.27,6.39,0,43.173,25.791,16.49,5.6,1.8,0.45,0.036,82.2,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,22.68,
76,0.27,6.39,0,43.173,25.791,16.49,5.6,1.8,0.45,0.036,115.6,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,24.66,
77,0.27,6.39,10,43.173,23.391,9.99,4.5,1.8,0.45,0.036,82.2,0.39,1.41,6.35,7.43,7.13,4.62,4.24,2.67,65.76,281,1,23.41,
78,0.27,6.39,10,43.173,23.391,9.99,4.5,1.8,0.45,0.036,115.6,0.39,1.41,6.35,7.43,7.13,4.62,4.24,2.67,65.76,281,1,25.41,
