No.,G_N2,G_CO2,G_H2S,G_C1,G_C2,G_C3,G_C4,G_C5,G_C6,G_C7+,TR (℃),O_N2,O_CO2,O_C1,O_C2,O_C3,O_C4,O_C5,O_C6,O_C7+,MWC7+ (g/mol),EM,MMP (MPa),
157,0.19,89.08,0,7.82,0,0,0,2.91,0,0,80,0.13,3.98,13.4,6.61,8.57,7.6,3.84,7.35,48.52,155.9,1,10.36,
158,0.19,89.08,0,7.82,0,0,0,2.91,0,0,100,0.13,3.98,13.4,6.61,8.57,7.6,3.84,7.35,48.52,155.9,1,11.63,
159,0.19,89.08,0,7.82,0,0,0,2.91,0,0,60,0.27,0.65,11.88,1.06,0.58,0.34,0.51,3.96,80.75,173.8,1,12.62,
160,0.19,89.08,0,7.82,0,0,0,2.91,0,0,80,0.27,0.65,11.88,1.06,0.58,0.34,0.51,3.96,80.75,173.8,1,13.72,
161,0.19,89.08,0,7.82,0,0,0,2.91,0,0,100,0.27,0.65,11.88,1.06,0.58,0.34,0.51,3.96,80.75,173.8,1,14.76,
162,0.2,90.84,0,7.97,0,0,0,0.99,0,0,60,0.73,15.57,23.95,8.71,8.63,6.46,3.09,3.7,29.16,153.9,1,14.11,
163,0.2,90.84,0,7.97,0,0,0,0.99,0,0,80,0.73,15.57,23.95,8.71,8.63,6.46,3.09,3.7,29.16,153.9,1,16.29,
164,0.2,90.84,0,7.97,0,0,0,0.99,0,0,100,0.73,15.57,23.95,8.71,8.63,6.46,3.09,3.7,29.16,153.9,1,17.77,
165,0.2,90.84,0,7.97,0,0,0,0.99,0,0,60,0.13,3.98,13.4,6.61,8.57,7.6,3.84,7.35,48.52,155.9,1,9.85,
166,0.2,90.84,0,7.97,0,0,0,0.99,0,0,80,0.13,3.98,13.4,6.61,8.57,7.6,3.84,7.35,48.52,155.9,1,11.47,
167,0.2,90.84,0,7.97,0,0,0,0.99,0,0,100,0.13,3.98,13.4,6.61,8.57,7.6,3.84,7.35,48.52,155.9,1,13.45,
168,0.2,90.84,0,7.97,0,0,0,0.99,0,0,60,0.27,0.65,11.88,1.06,0.58,0.34,0.51,3.96,80.75,173.8,1,15.18,
169,0.2,90.84,0,7.97,0,0,0,0.99,0,0,80,0.27,0.65,11.88,1.06,0.58,0.34,0.51,3.96,80.75,173.8,1,16.13,
170,0.2,90.84,0,7.97,0,0,0,0.99,0,0,100,0.27,0.65,11.88,1.06,0.58,0.34,0.51,3.96,80.75,173.8,1,16.88,
171,0.2,91.75,0,8.05,0,0,0,0,0,0,60,0.73,15.57,23.95,8.71,8.63,6.46,3.09,3.7,29.16,153.9,1,15.13,
172,0.2,91.75,0,8.05,0,0,0,0,0,0,80,0.73,15.57,23.95,8.71,8.63,6.46,3.09,3.7,29.16,153.9,1,17.15,
173,0.2,91.75,0,8.05,0,0,0,0,0,0,100,0.73,15.57,23.95,8.71,8.63,6.46,3.09,3.7,29.16,153.9,1,18.65,
174,0.2,91.75,0,8.05,0,0,0,0,0,0,60,0.13,3.98,13.4,6.61,8.57,7.6,3.84,7.35,48.52,155.9,1,11.03,
175,0.2,91.75,0,8.05,0,0,0,0,0,0,80,0.13,3.98,13.4,6.61,8.57,7.6,3.84,7.35,48.52,155.9,1,12.69,
176,0.2,91.75,0,8.05,0,0,0,0,0,0,100,0.13,3.98,13.4,6.61,8.57,7.6,3.84,7.35,48.52,155.9,1,14.63,
177,0.2,91.75,0,8.05,0,0,0,0,0,0,60,0.27,0.65,11.88,1.06,0.58,0.34,0.51,3.96,80.75,173.8,1,16.21,
178,0.2,91.75,0,8.05,0,0,0,0,0,0,80,0.27,0.65,11.88,1.06,0.58,0.34,0.51,3.96,80.75,173.8,1,17.24,
179,0.2,91.75,0,8.05,0,0,0,0,0,0,100,0.27,0.65,11.88,1.06,0.58,0.34,0.51,3.96,80.75,173.8,1,18.48,
180,0,100,0,0,0,0,0,0,0,0,66,0.96,0.07,24.05,3.72,4.36,3.38,1.55,0.72,61.19,402.7,0,20,
181,0,100,0,0,0,0,0,0,0,0,106,0.56,0.85,23.59,3.4,2.63,1.01,0.49,3.16,64.32,233,0,26,
182,0.57,0.59,0,57.22,15.06,12.06,7.77,4.17,1.58,0.98,76.11,0.51,0.23,26.03,7.12,6.43,5.2,4.35,4.17,45.96,290,0,31.03,
183,0,100,0,0,0,0,0,0,0,0,90.56,0.73,0.79,39.35,8.22,5.91,3.84,2.78,2.77,35.62,256.14,0,27.68,
184,0,59.66,0,10.3,7.69,9.5,6.79,6.06,0,0,77.25,0.293,0.223,21.657,6.758,7.024,5.554,4.497,4.146,49.848,291,0,15.79,
185,0.03,59.7,0,10.9,7.59,9.4,6.65,5.73,0,0,80.55,0.273,0.323,36.084,8.37,6.998,5.215,4.05,3.39,35.297,262,0,17.1,
186,0,100,0,0,0,0,0,0,0,0,101.6,1.77,0.63,27.12,2.11,0.88,0.73,2.54,0.93,63.29,310,0,31.3,
187,0,100,0,0,0,0,0,0,0,0,99,1.971,0.343,16.739,5.901,3.843,1.696,2.373,1.576,65.558,265,0,22.3,
188,0,100,0,0,0,0,0,0,0,0,108.4,2.129,0.481,24.691,3.718,1.626,0.975,1.978,1.223,63.179,293,0,27.9,
189,0,100,0,0,0,0,0,0,0,0,101.6,1.01,7.17,16.29,2.89,1.29,2.29,1.85,1.63,65.58,275,0,24.1,
190,0,100,0,0,0,0,0,0,0,0,130,0.09,2.52,44.51,9.9,7.5,4.58,2.27,4.73,23.87,269.86,0,24.21,
191,0.29,0.72,0,84.03,7.94,3.54,1.72,0.7,0.25,0.81,83.85,0.17,0.4,42.86,9.43,5.95,3.56,2.68,2.65,32.3,265,0,38.91,
192,0,100,0,0,0,0,0,0,0,0,83.85,0.17,0.4,42.86,9.43,5.95,3.56,2.68,2.65,32.3,265,0,24.4,
193,0,100,0,0,0,0,0,0,0,0,81.85,0.14,0.3,10.76,4.95,6.99,4.97,3.24,2.86,65.79,390.9,0,25.38,
,,,,,,,,,,,,,,,,,,,,,,,,
